SurveyNumber	SubjectId	ChoiceSet	Route	Origin	OriginCityCode	OriginCityName	Destination	DestinationCityCode	DestinationCityName	DepartureDate	DepartureDay	DepartureTime	ReturnDate	ReturnDay	ReturnTime	Duration	FirstSearchDate	SearchDate	SearchDay	DaysFromDeparture	SideStepReturnCustomer	RouteGroup	OriginGMT	DestinationGMT	TimeZoneChanges	Direction	FlyingTime	LocalFlyingTime	Distance	BadOD	q01_OwnFlight	q02_TripPurpose	q03_WhoPays	q04_Reimbursed	q05_MostAttractive	q06_LeastAttractive	q07_CancelTrip	q08_OtherMode	q09_RoundTrips	q10_RoundTripsForOD	q11_DepartureOrArrivalIsImportant	q12_IdealDepTime	q13_IdealArrTime	q14_PartySize	q15_Age	q16_Income	q17_Gender	q18_ZipCode	q19_Occupation	q20_Education	AirlineFirstFlight_1	AirlineFirstFlight_2	AirlineFirstFlight_3	AirlineSecondFlight_1	AirlineSecondFlight_2	AirlineSecondFlight_3	AirplaneFirstFlight_1	AirplaneFirstFlight_2	AirplaneFirstFlight_3	AirplaneSecondFlight_1	AirplaneSecondFlight_2	AirplaneSecondFlight_3	DepartureTimeHours_1	DepartureTimeHours_2	DepartureTimeHours_3	DepartureTimeMins_1	DepartureTimeMins_2	DepartureTimeMins_3	StopTime_1	StopTime_2	StopTime_3	ArrivalTimeHours_1	ArrivalTimeHours_2	ArrivalTimeHours_3	ArrivalTimeMins_1	ArrivalTimeMins_2	ArrivalTimeMins_3	FlyingTimeHours_1	FlyingTimeHours_2	FlyingTimeHours_3	FlyingTimeMins_1	FlyingTimeMins_2	FlyingTimeMins_3	TripTimeHours_1	TripTimeHours_2	TripTimeHours_3	TripTimeMins_1	TripTimeMins_2	TripTimeMins_3	Legroom_1	Legroom_2	Legroom_3	OneWayFare_1	OneWayFare_2	OneWayFare_3	Fare_1	Fare_2	Fare_3	BestAlternative_1	BestAlternative_2	BestAlternative_3	WorstAlternative_1	WorstAlternative_2	WorstAlternative_3	TripPurpose	WhoIsPaying	Reimbursed
332	13	74	9	19	20	15	21	21	16	16518	2	1	16525	2	1	8	16334	16373	4	145	1	1	360	480	2	0	254	134	1730	0	1	4	1	2	1	3	2	99	12	-1	2	-1	870	1	3.5	10	2	11	1	7	7	1	2	-1	-1	5	1	3	8	-1	8	4	18	16.5	18	1080	990	1080	0	3	2	20.2333	20.7333	21.7333	1214	1244	1304	4.23333	4.73333	4.73333	254	284	284	4.23333	6.23333	5.73333	254	374	344	2	3	4	179	179	179	565	485	620	1	0	0	0	0	1	4	1	2
395	14	239	10	22	22	17	12	12	10	16338	4	1	16341	0	1	4	16334	16334	0	4	0	1	420	360	-1	2	111	171	656	0	1	1	1	2	1	2	2	99	4	-1	1	630	-1	1	3.5	8	2	12	2	6	11	5	6	-1	-1	1	3	7	1	-1	4	8	7.5	13.5	9	450	810	540	0	2	1	10.35	17.85	12.85	621	1071	771	1.85	2.35	2.35	111	141	141	1.85	3.35	2.85	111	201	171	3	2	3	159	159	159	380	460	380	1	0	0	0	1	0	1	1	2
417	15	122	11	3	3	3	23	23	18	16338	4	0	-1	-1	6	-1	16334	16405	1	-67	1	1	480	480	0	1	55	55	222	0	1	2	1	2	1	2	2	99	5	3	2	-1	1080	1	5	99	2	13	99	99	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	0	2	3	9.91667	20.4167	11.9167	595	1225	715	0.916667	1.41667	1.41667	55	85	85	0.916667	2.41667	2.91667	55	145	175	3	1	4	61	61	61	105	85	105	1	0	0	0	1	0	2	1	2
431	16	166	12	3	3	3	4	4	4	16336	2	7	16339	5	8	4	16334	16365	3	-29	1	1	480	480	0	1	155	155	979	0	1	2	1	2	2	1	1	4	12	-1	1	585	-1	2	3.5	11	1	14	2	6	7	7	7	-1	-1	4	6	6	1	-1	3	4	7.5	9	12	450	540	720	0	4	2	10.0833	14.0833	16.0833	605	845	965	2.58333	3.08333	3.08333	155	185	185	2.58333	5.08333	4.08333	155	305	245	1	3	2	134	134	134	405	370	370	0	1	0	1	0	0	2	1	2
491	17	44	4	8	8	7	9	9	8	16513	4	1	16522	6	1	10	16334	16334	0	179	0	1	480	300	-3	2	274	454	2123	0	1	2	1	2	1	2	2	99	1	-1	2	-1	900	2	2	99	2	13	99	3	4	6	1	-1	-1	2	7	5	1	-1	8	7	12	6	7	720	360	420	0	4	2	19.5667	16.0667	16.0667	1174	964	964	4.56667	5.06667	5.06667	274	304	304	4.56667	7.06667	6.06667	274	424	364	3	4	3	241	241	241	330	365	420	1	0	0	0	1	0	2	1	2
501	18	222	13	24	24	19	14	15	12	16355	0	7	16360	5	8	6	16334	16334	0	21	0	1	300	300	0	1	151	151	857	0	1	2	1	2	1	3	2	99	14	-1	1	1380	-1	2	3.5	9	2	15	2	7	2	4	6	-1	-1	2	3	2	3	-1	4	4	15	18	12	900	1080	720	0	4	1	17.5167	23.0167	15.5167	1051	1381	931	2.51667	3.01667	3.01667	151	181	181	2.51667	5.01667	3.51667	151	301	211	2	2	2	111	111	111	185	145	195	1	0	0	0	0	1	2	1	2
506	19	65	14	16	16	13	3	3	3	16367	5	1	16375	6	1	9	16334	16334	0	33	0	1	480	480	0	1	118	118	669	0	1	2	1	2	3	2	2	99	3	-1	1	420	-1	2	3.5	11	1	16	1	8	5	2	2	-1	-1	3	3	5	5	-1	4	3	12	16.5	7.5	720	990	450	0	2	1	13.9667	19.9667	10.4667	838	1198	628	1.96667	2.46667	2.46667	118	148	148	1.96667	3.46667	2.96667	118	208	178	4	4	1	99	99	99	240	200	220	0	0	1	0	1	0	2	1	2
555	20	203	15	16	16	13	25	26	20	16372	3	2	16375	6	2	4	16334	16334	0	38	0	1	480	300	-3	2	320	500	2567	0	1	2	1	2	1	3	2	99	9	-1	1	1320	-1	4	5	4	1	17	6	6	6	5	1	-1	-1	7	1	1	7	-1	3	4	8	8	7	480	480	420	0	4	4	16.3333	18.8333	17.8333	980	1130	1070	5.33333	5.83333	5.83333	320	350	350	5.33333	7.83333	7.83333	320	470	470	3	3	4	338	338	338	975	720	765	1	0	0	0	0	1	2	1	2
601	21	72	16	9	9	8	27	20	15	16337	3	9	16340	6	9	4	16335	16335	1	2	0	1	300	360	1	0	117	57	593	0	1	2	1	2	2	3	1	4	21	-1	1	495	-1	1	8	1	1	18	4	2	1	5	1	-1	-1	5	5	1	3	-1	2	4	9	13.5	7.5	540	810	450	0	3	3	9.95	16.45	10.45	597	987	627	1.95	2.45	2.45	117	147	147	1.95	3.95	3.95	117	237	237	1	1	3	112	112	112	340	340	370	0	1	0	0	0	1	2	1	2
631	22	212	17	28	18	14	3	3	3	16366	4	1	16369	0	1	4	16335	16335	1	31	0	1	300	480	3	0	337	157	2320	0	1	2	1	2	2	3	2	99	4	-1	1	1050	-1	1	5	5	2	19	2	7	6	4	2	-1	-1	6	2	6	6	-1	2	7	13.5	12	10.5	810	720	630	0	4	3	16.1167	17.1167	15.1167	967	1027	907	5.61667	6.11667	6.11667	337	367	367	5.61667	8.11667	7.61667	337	487	457	4	2	4	195	195	195	340	265	325	0	1	0	0	0	1	2	1	2
638	23	7	18	29	29	21	16	16	13	16352	4	1	16355	0	1	4	16335	16351	3	1	1	1	300	480	3	0	346	166	2451	0	1	2	1	2	2	3	2	99	16	-1	1	1080	-1	1	3.5	14	1	20	2	9	10	7	1	-1	-1	7	4	3	2	-1	6	1	15	18	13.5	900	1080	810	0	4	4	17.7667	23.2667	18.7667	1066	1396	1126	5.76667	6.26667	6.26667	346	376	376	5.76667	8.26667	8.26667	346	496	496	2	2	3	214	214	214	775	645	610	0	1	0	0	0	1	2	1	2
668	24	90	19	30	30	22	12	12	10	16423	5	1	16424	6	1	2	16335	16335	1	88	0	1	300	360	1	0	149	89	918	0	1	2	1	2	1	3	1	4	3	-1	2	-1	780	1	2	10	1	21	6	3	6	4	4	-1	-1	11	5	5	8	-1	5	6	10.5	18	18	630	1080	1080	0	2	2	11.9833	20.9833	20.9833	719	1259	1259	2.48333	2.98333	2.98333	149	179	179	2.48333	3.98333	3.98333	149	239	239	2	4	2	225	225	225	480	565	675	1	0	0	0	0	1	2	1	2
673	25	163	6	13	13	11	14	15	12	16340	6	1	-1	-1	6	-1	16335	16335	1	5	0	1	360	300	-1	2	188	248	1304	0	1	3	1	2	3	1	2	99	21	-1	2	-1	1140	1	3.5	6	1	22	2	6	5	4	3	-1	-1	4	1	3	7	-1	2	8	10	11	11	600	660	660	0	3	4	14.1333	17.1333	17.6333	848	1028	1058	3.13333	3.63333	3.63333	188	218	218	3.13333	5.13333	5.63333	188	308	338	1	2	1	131	131	131	365	365	280	0	0	1	1	0	0	3	1	2
691	26	168	18	29	29	21	16	16	13	16343	2	1	16347	6	1	5	16335	16335	1	8	0	1	300	480	3	0	346	166	2451	0	1	1	2	0	3	2	2	99	10	-1	1	900	-1	1	3.5	5	2	23	2	7	2	5	7	-1	-1	4	4	7	5	-1	8	6	15	10.5	13.5	900	630	810	0	2	3	17.7667	14.7667	18.2667	1066	886	1096	5.76667	6.26667	6.26667	346	376	376	5.76667	7.26667	7.76667	346	436	466	3	1	4	214	214	214	340	325	325	0	0	1	0	1	0	1	2	0
721	27	104	20	19	20	15	2	2	2	16387	4	1	16389	6	1	3	16335	16335	1	52	0	1	360	480	2	0	254	134	1752	0	1	2	1	2	1	2	2	99	99	-1	1	1110	-1	1	3.5	10	1	24	2	6	6	2	3	-1	-1	6	5	2	4	-1	2	1	18	16.5	9	1080	990	540	0	3	3	20.2333	20.7333	13.2333	1214	1244	794	4.23333	4.73333	4.73333	254	284	284	4.23333	6.23333	6.23333	254	374	374	2	3	1	182	182	182	250	315	260	1	0	0	0	1	0	2	1	2
728	28	84	12	3	3	3	4	4	4	16335	1	10	-1	-1	6	-1	16335	16361	6	-26	1	1	480	480	0	1	155	155	979	0	1	2	1	2	1	3	1	3	14	-1	1	420	-1	4	1	12	2	25	1	5	7	1	4	-1	-1	3	7	1	6	-1	7	1	7.5	10.5	10.5	450	630	630	0	1	3	10.0833	14.0833	15.0833	605	845	905	2.58333	3.08333	3.08333	155	185	185	2.58333	3.58333	4.58333	155	215	275	4	1	2	134	134	134	295	270	230	1	0	0	0	0	1	2	1	2
732	29	126	12	3	3	3	4	4	4	16428	3	1	16436	4	1	9	16335	16335	1	93	0	1	480	480	0	1	155	155	979	0	1	2	1	2	1	2	2	99	3	-1	2	-1	660	5	3.5	10	1	26	1	7	6	5	10	-1	-1	4	3	8	6	-1	8	6	18	7.5	16.5	1080	450	990	0	4	4	20.5833	12.5833	21.5833	1235	755	1295	2.58333	3.08333	3.08333	155	185	185	2.58333	5.08333	5.08333	155	305	305	2	2	3	134	134	134	445	485	445	1	0	0	0	1	0	2	1	2
785	30	125	21	2	2	2	25	26	20	16345	4	1	16354	6	1	10	16335	16335	1	10	0	1	480	300	-3	2	318	498	2456	0	1	2	1	2	1	3	1	4	2	-1	1	510	-1	-1	-1	-1	-1	9	-1	-1	3	2	1	-1	-1	2	8	6	3	-1	7	6	10	10	10	600	600	600	0	4	2	18.3	20.8	19.8	1098	1248	1188	5.3	5.8	5.8	318	348	348	5.3	7.8	6.8	318	468	408	2	1	4	294	294	294	500	500	650	1	0	0	0	0	1	2	1	2
788	31	107	18	29	29	21	16	16	13	16349	1	0	16351	3	9	3	16335	16335	1	14	0	1	300	480	3	0	346	166	2451	0	1	1	2	0	1	3	2	99	4	-1	2	-1	765	1	3.5	14	2	27	4	6	3	5	3	-1	-1	5	1	6	2	-1	2	4	10.5	18	18	630	1080	1080	0	1	4	13.2667	21.7667	23.2667	796	1306	1396	5.76667	6.26667	6.26667	346	376	376	5.76667	6.76667	8.26667	346	406	496	4	2	4	214	214	214	305	390	325	1	0	0	0	0	1	1	2	0
807	32	189	22	31	31	23	5	5	5	16337	3	3	16337	3	11	1	16335	16357	2	-20	1	1	300	480	3	0	314	134	2021	0	1	1	2	0	1	3	2	99	21	-1	2	-1	-1	-1	-1	-1	-1	9	-1	-1	7	7	7	-1	-1	4	1	4	4	-1	7	7	10.5	18	9	630	1080	540	0	2	3	12.7333	21.7333	13.2333	764	1304	794	5.23333	5.73333	5.73333	314	344	344	5.23333	6.73333	7.23333	314	404	434	2	4	3	131	131	131	250	225	280	1	0	0	0	0	1	1	2	0
830	33	27	23	9	9	8	12	12	10	16352	4	8	16355	0	12	4	16335	16335	1	17	0	1	300	360	1	0	134	74	715	0	1	2	1	2	2	3	2	99	21	-1	2	-1	1140	1	3.5	9	2	28	2	7	3	1	3	-1	-1	1	4	4	6	-1	6	8	12	16.5	10.5	720	990	630	0	2	4	13.2333	19.2333	14.2333	794	1154	854	2.23333	2.73333	2.73333	134	164	164	2.23333	3.73333	4.73333	134	224	284	4	4	4	151	151	151	420	325	340	0	1	0	0	0	1	2	1	2
831	34	162	24	13	13	11	5	5	5	16602	2	1	16606	6	1	5	16335	16335	1	267	0	1	360	480	2	0	200	80	1297	0	1	2	1	2	2	3	2	99	4	-1	1	480	-1	2	6	10	2	29	2	5	1	10	7	-1	-1	1	5	8	8	-1	4	2	13.5	10.5	16.5	810	630	990	0	3	4	14.8333	13.8333	20.3333	890	830	1220	3.33333	3.83333	3.83333	200	230	230	3.33333	5.33333	5.83333	200	320	350	1	2	1	124	124	124	375	280	330	0	1	0	0	0	1	2	1	2
856	35	210	12	3	3	3	4	4	4	16429	4	1	16436	4	1	8	16335	16335	1	94	0	1	480	480	0	1	155	155	979	0	1	2	1	2	1	2	2	99	2	-1	2	-1	660	5	3.5	10	1	26	1	7	5	5	5	-1	-1	2	5	6	8	-1	6	5	12	7.5	12	720	450	720	0	1	2	14.5833	11.0833	16.0833	875	665	965	2.58333	3.08333	3.08333	155	185	185	2.58333	3.58333	4.08333	155	215	245	4	1	3	134	134	134	355	320	320	1	0	0	0	1	0	2	1	2
921	36	156	21	2	2	2	25	26	20	16377	1	0	16379	3	13	3	16335	16335	1	42	0	1	480	300	-3	2	318	498	2456	0	1	1	2	0	1	3	2	99	3	-1	1	480	-1	1	5	14	1	30	1	7	6	6	2	-1	-1	4	1	6	6	-1	8	8	12	11	10	720	660	600	0	1	2	20.3	20.3	19.8	1218	1218	1188	5.3	5.8	5.8	318	348	348	5.3	6.3	6.8	318	378	408	3	3	1	294	294	294	590	590	560	1	0	0	0	0	1	1	2	0
934	37	15	9	19	20	15	21	21	16	16362	0	1	16365	3	1	4	16335	16376	0	-14	1	1	360	480	2	0	254	134	1730	0	1	4	1	1	3	1	1	4	8	-1	1	1080	-1	4	6	8	1	31	4	3	4	2	5	-1	-1	7	5	2	7	-1	5	2	7.5	16.5	15	450	990	900	0	4	2	9.73333	21.2333	18.7333	584	1274	1124	4.23333	4.73333	4.73333	254	284	284	4.23333	6.73333	5.73333	254	404	344	4	2	1	179	179	179	515	460	460	0	0	1	1	0	0	4	1	1
938	38	202	10	22	22	17	12	12	10	16341	0	9	16342	1	9	2	16335	16335	1	6	0	1	420	360	-1	2	111	171	656	0	1	1	2	0	1	3	2	99	8	-1	1	465	-1	1	3.5	10	1	13	1	7	2	7	2	-1	-1	1	6	1	6	-1	5	5	18	15	7.5	1080	900	450	0	2	3	20.85	19.35	12.35	1251	1161	741	1.85	2.35	2.35	111	141	141	1.85	3.35	3.85	111	201	231	4	3	2	159	159	159	410	410	455	1	0	0	0	0	1	1	2	0
967	39	101	4	8	8	7	9	9	8	16398	1	1	16403	6	1	6	16335	16350	2	48	1	1	480	300	-3	2	274	454	2123	0	1	2	1	2	1	3	1	4	12	-1	0	-1	-1	2	3.5	99	2	32	1	7	6	1	8	-1	-1	2	5	3	2	-1	4	5	12	7	9	720	420	540	0	3	4	19.5667	16.5667	19.0667	1174	994	1144	4.56667	5.06667	5.06667	274	304	304	4.56667	6.56667	7.06667	274	394	424	2	4	3	241	241	241	460	410	410	1	0	0	0	0	1	2	1	2
990	40	239	25	9	9	8	3	3	3	16345	4	14	16348	0	10	4	16335	16335	1	10	0	1	300	480	3	0	308	128	2175	0	1	2	1	2	1	2	2	99	14	-1	1	1080	-1	1	3.5	7	1	33	1	6	11	5	6	-1	-1	1	3	7	1	-1	4	8	7.5	13.5	9	450	810	540	0	2	1	9.63333	17.1333	12.1333	578	1028	728	5.13333	5.63333	5.63333	308	338	338	5.13333	6.63333	6.13333	308	398	368	3	2	3	236	236	236	565	680	565	1	0	0	0	1	0	2	1	2
1029	41	152	8	19	20	15	16	16	13	16338	4	15	16340	6	16	3	16335	16335	1	3	0	1	360	480	2	0	270	150	1855	0	1	2	1	2	1	2	1	4	3	-1	1	555	-1	1	3.5	10	2	34	4	7	4	1	2	-1	-1	7	5	3	5	-1	1	4	15	9	10.5	900	540	630	0	4	1	17.5	14	14	1050	840	840	4.5	5	5	270	300	300	4.5	7	5.5	270	420	330	4	1	3	230	230	230	520	665	550	1	0	0	0	1	0	2	1	2
1044	42	164	0	0	0	0	1	1	1	16402	5	17	16407	3	17	6	16335	16349	1	53	1	1	300	360	1	0	277	217	1737	0	1	2	1	2	1	3	2	99	4	-1	1	1080	-1	2	5	8	2	35	2	6	2	10	9	-1	-1	5	8	5	2	-1	3	8	14	8	9	840	480	540	0	4	1	17.6167	14.1167	13.6167	1057	847	817	4.61667	5.11667	5.11667	277	307	307	4.61667	7.11667	5.61667	277	427	337	1	4	4	231	231	231	800	695	590	1	0	0	0	0	1	2	1	2
1058	43	134	26	32	26	24	5	5	5	16420	2	1	16424	6	1	5	16335	16350	2	70	1	1	300	480	3	0	327	147	2230	0	1	2	1	2	1	3	2	99	6	-1	1	480	-1	2	3.5	10	1	36	1	7	11	4	3	-1	-1	4	5	3	3	-1	3	8	13.5	10.5	15	810	630	900	0	4	3	15.95	15.45	19.45	957	927	1167	5.45	5.95	5.95	327	357	357	5.45	7.95	7.45	327	477	447	3	4	2	161	161	161	580	460	485	1	0	0	0	0	1	2	1	2
1073	44	245	27	13	13	11	12	12	10	16341	0	18	16342	1	14	2	16335	16335	1	6	0	1	360	360	0	1	149	149	859	0	1	3	2	0	1	3	2	99	20	-1	2	-1	570	1	5	14	1	37	1	6	3	6	5	-1	-1	2	7	3	6	-1	4	3	15	13.5	16.5	900	810	990	0	2	3	17.4833	17.4833	20.9833	1049	1049	1259	2.48333	2.98333	2.98333	149	179	179	2.48333	3.98333	4.48333	149	239	269	2	4	3	159	159	159	370	305	290	1	0	0	0	0	1	3	2	0
1083	45	1	19	30	30	22	12	12	10	16373	4	1	16375	6	1	3	16335	16399	2	-26	1	1	300	360	1	0	149	89	918	0	1	2	1	2	1	3	1	4	21	6	1	510	-1	1	5	13	1	38	4	7	6	7	6	-1	-1	1	8	6	5	-1	5	5	15	16.5	18	900	990	1080	0	4	4	16.4833	20.4833	21.9833	989	1229	1319	2.48333	2.98333	2.98333	149	179	179	2.48333	4.98333	4.98333	149	299	299	1	4	1	225	225	225	390	355	405	1	0	0	0	0	1	2	1	2
1095	46	122	28	4	4	4	3	3	3	16423	5	1	16431	6	1	9	16335	16363	1	60	1	1	480	480	0	1	152	152	979	0	1	2	1	2	2	3	2	4	8	-1	2	-1	675	1	6	14	2	39	99	6	3	6	6	-1	-1	3	6	2	7	-1	5	2	9	18	9	540	1080	540	0	2	3	11.5333	22.0333	13.5333	692	1322	812	2.53333	3.03333	3.03333	152	182	182	2.53333	4.03333	4.53333	152	242	272	3	1	4	133	133	133	220	180	220	0	1	0	0	0	1	2	1	2
